Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
cantarell-fonts, 687643, 0.43, 18, 3, 2, 0, 526829, 154557, 509, 290, 0, 110592, 0, 0.183104, 0.030517, 69128, 18566, 0, 0, 176, 48, 51, 0.025442, 0.0072499999999999995, 66320, 4604, 3, 0, 40, 91, 121
packagegroup-core-x11-base, 756306, 0.23, 14, 3, 1, 2, 478246, 137667, 461, 267, 0, 102400, 0, 0.146293, 0.03376, 68968, 18161, 0, 0, 168, 55, 214, 0.010909, 0.021644999999999998, 66168, 4439, 0, 0, 32, 80, 82
update-rc.d, 273000, 0.11, 11, 1, 1, 0, 478718, 136712, 454, 274, 0, 102400, 0, 0.111345, 0.019996, 64804, 18323, 0, 0, 160, 29, 32, 0.015802, 0.008771, 62004, 4581, 0, 0, 40, 91, 21
liberation-fonts, 685497, 0.42, 15, 4, 1, 1, 488858, 144965, 508, 311, 0, 106496, 0, 0.15395499999999998, 0.040514, 68824, 18318, 0, 0, 168, 62, 61, 0.019733, 0.012875, 66024, 4593, 0, 0, 40, 77, 105
adwaita-icon-theme, 683578, 0.09, 9, 3, 1, 1, 516156, 149282, 476, 288, 0, 106496, 0, 0.098314, 0.032771, 69056, 18480, 0, 0, 168, 28, 7, 0.011788999999999999, 0.011837, 66256, 4608, 0, 0, 40, 150, 24
wayland-protocols, 295330, 0.10, 11, 2, 1, 1, 505772, 147303, 470, 285, 0, 106496, 0, 0.118487, 0.021942, 64784, 18241, 0, 0, 168, 29, 8, 0.010006, 0.013649999999999999, 61968, 4588, 0, 0, 40, 123, 16
hicolor-icon-theme, 567235, 0.19, 16, 0, 1, 1, 504999, 145547, 492, 282, 0, 110592, 0, 0.162969, 0.008357, 66992, 18226, 0, 0, 176, 48, 68, 0.011368, 0.015056, 64192, 4572, 0, 0, 40, 94, 102
wireless-regdb, 693744, 0.13, 14, 4, 1, 1, 485320, 140009, 465, 282, 0, 106496, 0, 0.14715699999999998, 0.041506, 68824, 18216, 0, 0, 168, 30, 28, 0.018636, 0.010251999999999999, 66024, 4612, 0, 0, 40, 99, 34
sato-icon-theme, 693383, 0.17, 16, 3, 1, 1, 514322, 153321, 493, 322, 0, 106496, 0, 0.169064, 0.037111, 69012, 18416, 0, 0, 168, 46, 42, 0.017821, 0.012834, 66208, 4567, 0, 0, 40, 81, 68
iso-codes, 513783, 0.17, 16, 2, 1, 0, 504377, 143698, 471, 279, 0, 106496, 0, 0.16705799999999998, 0.027195, 66844, 18445, 0, 0, 168, 41, 39, 0.018889, 0.008716, 64040, 4618, 0, 0, 40, 121, 71
packagegroup-core-x11, 762711, 0.18, 13, 6, 1, 1, 478410, 136432, 400, 264, 0, 102400, 0, 0.133101, 0.060846, 69016, 18293, 0, 0, 168, 23, 36, 0.018571, 0.012346999999999999, 66208, 4461, 0, 0, 32, 71, 44
packagegroup-base, 756699, 0.22, 18, 3, 1, 1, 499454, 152840, 471, 268, 0, 114688, 0, 0.18409399999999998, 0.030056, 69512, 18697, 0, 0, 192, 60, 48, 0.017072, 0.0139, 66688, 4515, 0, 0, 32, 71, 96
xserver-nodm-init, 694878, 0.13, 17, 3, 2, 0, 512048, 156384, 467, 284, 0, 114688, 0, 0.179172, 0.03116, 68976, 18689, 0, 0, 184, 30, 11, 0.023278999999999998, 0.006902999999999999, 66172, 4668, 0, 0, 40, 96, 26
matchbox-session-sato, 693266, 0.16, 16, 2, 1, 1, 497462, 155594, 450, 279, 0, 114688, 0, 0.162302, 0.02771, 68880, 18612, 0, 0, 184, 27, 64, 0.016704, 0.014582999999999999, 66080, 4684, 1, 0, 40, 77, 60
v86d, 693750, 0.14, 15, 4, 2, 0, 493046, 152628, 458, 279, 0, 110592, 0, 0.15162, 0.040678, 68868, 18563, 0, 0, 176, 28, 33, 0.026441, 0.004677, 66064, 4654, 0, 0, 40, 110, 29
depmodwrapper-cross, 698898, 0.11, 12, 3, 2, 0, 495447, 154746, 450, 276, 0, 114688, 0, 0.127271, 0.030853, 68772, 18418, 0, 0, 184, 29, 7, 0.021098, 0.00684, 65972, 4690, 0, 0, 40, 141, 8
packagegroup-core-x11-xserver, 762261, 0.20, 15, 3, 2, 0, 491887, 155688, 473, 265, 0, 110592, 0, 0.156432, 0.032088, 69012, 18610, 0, 0, 184, 57, 87, 0.023534, 0.006716, 66212, 4541, 0, 0, 32, 73, 102
connman-conf, 687649, 0.32, 16, 3, 1, 1, 492458, 157559, 464, 308, 0, 110592, 0, 0.165386, 0.03007, 68816, 18477, 0, 0, 176, 41, 312, 0.015467, 0.016086, 65992, 4697, 0, 0, 40, 70, 54
sysvinit-inittab, 690605, 0.45, 15, 3, 2, 0, 494910, 154214, 478, 275, 0, 114688, 0, 0.152786, 0.037265, 68532, 18391, 0, 0, 184, 51, 159, 0.028090999999999998, 0.0063289999999999996, 65732, 4680, 1, 0, 40, 81, 58
packagegroup-core-boot, 757064, 0.19, 15, 3, 1, 1, 489135, 158995, 434, 300, 0, 110592, 0, 0.153134, 0.03311, 69020, 18572, 0, 0, 184, 39, 149, 0.010421, 0.018786, 66204, 4517, 0, 0, 32, 113, 59
