Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
rgb, 2613867, 1.12, 21, 4, 5, 1, 760215, 229271, 915, 311, 0, 200704, 0, 0.21312499999999998, 0.042624999999999996, 73876, 23806, 0, 0, 232, 86, 82, 0.05325, 0.01145, 71076, 6926, 0, 0, 160, 113, 104
elfutils, 3601787, 0.89, 18, 5, 6, 1, 2062722, 1006570, 1215, 424, 0, 659456, 0, 0.186, 0.052565, 59900, 23759, 0, 0, 272, 53, 65, 0.06349099999999999, 0.010622, 57016, 7156, 0, 0, 1016, 143, 117
shared-mime-info, 3230730, 1.32, 21, 2, 5, 3, 1882665, 1264669, 2021, 583, 8192, 1044480, 0, 0.219109, 0.028939, 59296, 24290, 0, 16, 512, 72, 148, 0.052656999999999995, 0.037714, 56432, 7364, 1, 0, 1528, 180, 205
gawk, 2573833, 1.08, 20, 5, 6, 1, 1351253, 671998, 1262, 404, 0, 512000, 0, 0.203709, 0.053789, 73708, 23560, 0, 0, 304, 73, 116, 0.06762, 0.011382999999999999, 70948, 7077, 1, 0, 696, 144, 112
libksba, 2412263, 0.87, 17, 4, 4, 1, 805283, 269842, 916, 317, 0, 208896, 0, 0.17829499999999998, 0.048624999999999995, 72332, 23564, 0, 0, 224, 80, 124, 0.049511, 0.010497, 69508, 6900, 0, 0, 184, 148, 144
libtasn1, 1901820, 0.65, 17, 5, 4, 1, 820614, 292236, 903, 325, 4096, 217088, 0, 0.170807, 0.050464999999999996, 72588, 21374, 0, 8, 224, 60, 35, 0.046608, 0.012648, 69852, 6940, 0, 0, 200, 131, 105
python3-pygobject, 3694695, 1.71, 20, 3, 5, 1, 859690, 280220, 924, 327, 40960, 221184, 0, 0.208448, 0.034032, 59796, 24346, 3, 80, 240, 82, 75, 0.052303999999999996, 0.013089, 56932, 6938, 0, 0, 192, 135, 160
libgudev, 3001606, 1.40, 21, 2, 5, 0, 841630, 294271, 937, 325, 0, 204800, 0, 0.21872699999999998, 0.022243, 62420, 23618, 0, 0, 224, 84, 77, 0.052787, 0.009462, 59612, 6903, 2, 0, 176, 167, 90
libpciaccess, 1698203, 0.36, 18, 4, 3, 1, 776916, 265824, 828, 316, 0, 204800, 0, 0.18625, 0.040489, 71876, 23204, 0, 0, 224, 33, 85, 0.036913, 0.016198999999999998, 69076, 6893, 0, 0, 176, 133, 73
libical, 3189631, 1.19, 20, 4, 4, 1, 880010, 297498, 861, 323, 0, 233472, 0, 0.20482299999999998, 0.040160999999999995, 59124, 24158, 0, 0, 224, 47, 88, 0.040732, 0.019325, 56252, 6981, 0, 0, 232, 147, 97
