Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
nghttp2, 1442026, 34.76, 11, 2, 447, 111, 109825811, 11805142, 53236, 12435, 1359872, 11943936, 9732096, 0.118363, 0.023672, 70228, 11103, 0, 24, 200, 138, 63, 4.477683, 1.110312, 100344, 519215, 28, 2632, 23128, 5106, 6045
fontconfig, 2434665, 69.78, 29, 5, 947, 158, 187108589, 29095285, 87881, 26157, 1503232, 26644480, 14901248, 0.297605, 0.057975, 72028, 16584, 0, 920, 376, 428, 192, 9.472394, 1.585308, 69172, 947083, 50, 2016, 51664, 10823, 9554
libxxf86vm, 2203453, 13.84, 29, 4, 503, 84, 131650154, 17369067, 58218, 18749, 131072, 17010688, 10104832, 0.295711, 0.040944, 72572, 20187, 0, 168, 360, 262, 93, 5.030659, 0.849808, 69680, 616191, 25, 88, 32864, 6196, 4932
libdrm, 1689100, 9.33, 15, 3, 206, 32, 25495346, 7524931, 7893, 2696, 229376, 8118272, 475136, 0.157919, 0.036442999999999996, 71800, 11456, 0, 24, 176, 16, 79, 2.069553, 0.325156, 68872, 119097, 5, 424, 15680, 1158, 1236
flac, 1789787, 46.63, 28, 6, 980, 170, 220283206, 31307712, 95966, 26627, 1470464, 28844032, 17096704, 0.28384899999999996, 0.065208, 71576, 16545, 0, 424, 376, 367, 229, 9.80618, 1.7098149999999999, 99836, 1031324, 27, 2448, 55960, 12020, 10817
settings-daemon, 3821773, 16.49, 42, 5, 203, 28, 26904582, 3841735, 15067, 7392, 344064, 3465216, 1183744, 0.423991, 0.057629, 60620, 18841, 0, 416, 304, 195, 84, 2.034255, 0.284688, 57820, 187681, 5, 256, 6464, 2448, 2349
bash, 2125560, 56.77, 36, 4, 1291, 402, 314558374, 19133186, 143905, 32928, 1990656, 21340160, 13053952, 0.365268, 0.045093999999999995, 71928, 16744, 0, 184, 376, 599, 121, 12.918156, 4.025631, 69212, 1816069, 64, 3704, 41304, 11893, 12643
libptytty, 1443812, 19.43, 15, 2, 165, 54, 50184287, 5314949, 26085, 6590, 155648, 5287936, 4202496, 0.155229, 0.020975999999999998, 69820, 8795, 0, 24, 152, 63, 100, 1.656455, 0.541474, 66896, 226799, 9, 280, 10176, 2606, 2539
libarchive, 1706265, 92.30, 35, 7, 1706, 453, 398165320, 40303701, 178764, 37742, 1757184, 38719488, 20545536, 0.353082, 0.076342, 71500, 19954, 0, 864, 392, 654, 102, 17.065691, 4.530426, 68640, 1981504, 53, 2568, 75232, 19424, 19828
libfakekey, 2389391, 38.54, 29, 4, 419, 57, 95706679, 14344911, 48570, 15339, 634880, 13504512, 7835648, 0.297129, 0.046915, 72472, 18038, 0, 656, 320, 281, 169, 4.1919509999999995, 0.577587, 69640, 430439, 12, 584, 26056, 6615, 5414
libogg, 1651922, 54.05, 26, 1, 634, 126, 142288248, 17531683, 59635, 16857, 1048576, 16855040, 9961472, 0.263113, 0.016704999999999998, 70816, 16807, 0, 664, 336, 274, 115, 6.34604, 1.263929, 68100, 653721, 31, 1384, 32584, 6969, 5611
mpfr, 2002502, 43.93, 28, 3, 1039, 126, 162590554, 21898129, 73863, 19534, 1503232, 20250624, 10940416, 0.281566, 0.031724999999999996, 71384, 17214, 0, 648, 336, 353, 179, 10.394953, 1.262213, 68488, 719470, 14, 2288, 39216, 6911, 8386
mesa, 3179956, 53.47, 19, 3, 722, 105, 102355018, 31686198, 42938, 19466, 5066752, 26251264, 2330624, 0.19777699999999998, 0.031644, 59776, 13059, 9, 216, 224, 89, 107, 7.224319, 1.051771, 70060, 449341, 28, 9680, 51048, 12757, 13705
libtool-cross, 1441217, 83.15, 24, 4, 730, 117, 176126626, 27286406, 79825, 25756, 2068480, 26705920, 16457728, 0.244828, 0.044514, 69708, 19849, 0, 704, 400, 396, 42, 7.301126, 1.177771, 66912, 900250, 29, 3336, 51760, 12333, 9649
ofono, 3406182, 48.57, 40, 4, 547, 54, 110993247, 19226824, 47122, 17031, 2506752, 17473536, 9920512, 0.40378, 0.044414999999999996, 58640, 17818, 0, 2096, 336, 285, 151, 5.477837, 0.5426909999999999, 55788, 464958, 24, 2800, 33792, 5977, 3760
libtheora, 1921759, 37.94, 28, 6, 481, 71, 102012158, 16158092, 50220, 16855, 847872, 14962688, 8445952, 0.28776999999999997, 0.065776, 71472, 17929, 0, 464, 344, 336, 90, 4.814923, 0.715465, 68756, 506728, 23, 1192, 28880, 7413, 5932
libsamplerate0, 2251877, 30.92, 24, 4, 642, 112, 140109462, 19754344, 63585, 18840, 802816, 18915328, 11214848, 0.24220899999999998, 0.045156999999999996, 71916, 16925, 0, 352, 344, 238, 95, 6.420241, 1.128107, 69200, 732774, 34, 1216, 36600, 8388, 6888
ptest-runner, 1980283, 0.32, 16, 2, 0, 0, 315437, 80912, 136, 192, 12288, 69632, 0, 0.16302999999999998, 0.023289999999999998, 71316, 8853, 0, 24, 128, 35, 45, 0.005114, 0.0, 68408, 609, 0, 0, 8, 6, 33
